Date,PollenConc
2019-04-18,150.24
2019-04-19,204.95
2019-04-20,155.66
2019-04-21,171.07
2019-04-22,831.13
2019-04-23,557.76
2019-04-24,1209.18
2019-04-25,182.93
2019-04-26,62.84
2019-04-27,98.92
2019-04-28,19.82
2019-04-29,68.77
2019-04-30,103.49
2019-05-01,111.96
2019-05-02,138.38
2019-05-03,48.61
2019-05-04,238.14
2019-05-05,76.22
2019-05-06,67.58
2019-05-07,106.2
2019-05-08,44.38
2019-05-09,330.79
2019-05-10,42.17
2019-05-11,71.48
2019-05-12,59.28
2019-05-13,108.57
2019-05-14,113.82
2019-05-15,97.39
2019-05-16,89.26
2019-05-17,106.54
2019-05-18,47.09
2019-05-19,46.92
2019-05-20,30.66
2019-05-21,54.37
2019-05-22,90.79
2019-05-23,127.03
2019-05-24,118.9
2019-05-25,103.83
2019-05-26,71.31
2019-05-27,102.81
2019-05-28,66.9
2019-05-29,59.45
2019-05-30,65.89
2019-05-31,131.78
2019-06-01,123.14
2019-06-02,139.23
2019-06-03,176.32
2019-06-04,167.17
