Date,total
2019-04-18,818.0
2019-04-19,715.0
2019-04-20,677.0
2019-04-21,720.0
2019-04-22,669.0
2019-04-23,14858.0
2019-04-24,7318.0
2019-04-25,0.0
2019-04-26,175.0
2019-04-27,259.0
2019-04-28,155.0
2019-04-29,188.0
2019-04-30,246.0
2019-05-01,11490.0
2019-05-02,795.0
2019-05-03,277.0
2019-05-04,276.0
2019-05-05,295.0
2019-05-06,334.0
2019-05-07,3662.0
2019-05-08,330.0
2019-05-09,553.0
2019-05-10,354.0
2019-05-11,343.0
2019-05-12,387.0
2019-05-13,1205.0
2019-05-14,939.0
2019-05-15,994.0
2019-05-16,803.0
2019-05-17,1328.0
2019-05-18,536.0
2019-05-19,278.0
2019-05-20,186.0
2019-05-21,416.0
2019-05-22,433.0
2019-05-23,621.0
2019-05-24,1479.0
2019-05-25,591.0
2019-05-26,436.0
2019-05-27,533.0
2019-05-28,333.0
2019-05-29,376.0
2019-05-30,349.0
2019-05-31,634.0
2019-06-01,712.0
2019-06-02,860.0
2019-06-03,1234.0
2019-06-04,427.0
